20160625,32
20160626,56
20160627,38
20160628,47
20160629,39
20160630,13
20160701,3
20160702,96
20160703,79
20160704,132
20160705,36
20160706,122
20160707,73
20160708,21
20160709,51
20160710,76
20160711,62
20160712,49
20160713,39
20160714,78
20160715,105
20160716,16
20160717,77
20160718,134
20160719,149
20160720,110
20160721,113
20160722,46
20160723,69
20160724,49
20160725,38
20160726,66
20160727,31
20160728,49
20160729,19
20160730,12
20160731,59
20160801,84
20160802,1
20160803,26
20160804,50
20160805,106
20160806,75
20160807,34
20160808,68
20160809,73
20160810,107
20160811,0
20160812,40
20160813,28
20160814,41
20160815,123
20160816,131
20160817,133
20160818,132
20160819,49
20160820,76
20160821,44
20160822,41
20160823,130
20160824,130
20160825,130
20160826,114
20160827,97
20160828,76
20160829,57
20160830,124
20160831,112
20160901,62
20160902,42
20160903,49
20160904,33
20160905,80
20160906,58
20160907,122
20160908,122
20160909,112
20160910,105
20160911,25
20160912,115
20160913,116
20160914,115
20160915,92
20160916,32
20160917,16
20160918,59
20160919,15
20160920,53
20160921,86
20160922,53
20160923,97
20160924,99
20160925,75
20160926,42
20160927,98
20160928,78
20160929,3
20160930,54
20161001,35
20161002,31
20161003,95
20161004,56
20161005,102
20161006,54
20161007,30
20161008,38
20161009,69
20161010,64
20161011,9
20161012,16
20161013,19
20161014,43
20161015,14
20161016,97
20161017,43
20161018,29
20161019,57
20161020,0
20161021,46
20161022,21
20161023,90
20161024,8
20161025,0
20161026,43
20161027,11
20161028,0
20161029,72
20161030,50
20161031,81
20161101,6
20161102,57
20161103,45
20161104,12
20161105,30
20161106,30
20161107,3
20161108,27
20161109,0
20161110,2
20161111,70
20161112,43
20161113,0
20161114,0
20161115,0
20161116,31
20161117,13
20161118,14
20161119,35
20161120,0
20161121,1
20161122,41
20161123,5
20161124,40
20161125,73
20161126,52
20161127,21
20161128,71
20161129,71
20161130,35
20161201,12
20161202,5
20161203,37
20161204,70
20161205,67
20161206,68
20161207,6
20161208,20
20161209,0
20161210,0
20161211,15
20161212,0
20161213,0
20161214,17
20161215,0
20161216,25
20161217,0
20161218,13
20161219,45
20161220,53
20161221,3
20161222,0
20161223,13
20161224,10
20161225,0
20161226,46
20161227,55
20161228,0
20161229,0
20161230,6
20161231,0
20170101,0
20170102,43
20170103,5
20170104,33
20170105,58
20170106,62
20170107,0
20170108,0
20170109,0
20170110,10
20170111,28
20170112,14
20170113,32
20170114,23
20170115,33
20170116,18
20170117,36
20170118,18
20170119,67
20170120,71
20170121,75
20170122,75
20170123,2
20170124,0
20170125,0
20170126,65
20170127,57
20170128,16
20170129,5
20170130,0
20170131,8
20170201,0
20170202,31
20170203,15
20170204,2
20170205,41
20170206,0
20170207,0
20170208,0
20170209,0
20170210,0
20170211,0
20170212,45
20170213,87
20170214,87
20170215,75
20170216,7
20170217,2
20170218,49
20170219,4
20170220,0
20170221,54
20170222,0
20170223,2
20170224,68
20170225,5
20170226,0
20170227,3
20170228,21
20170301,38
20170302,11
20170303,14
20170304,6
20170305,42
20170306,43
20170307,16
20170308,2
20170309,45
20170310,80
20170311,64
20170312,98
20170313,81
20170314,45
20170315,84
20170316,109
20170317,42
20170318,1
20170319,7
20170320,0
20170321,88
20170322,85
20170323,109
20170324,110
20170325,105
20170326,73
20170327,115
20170328,114
20170329,12
20170330,61
20170331,55
20170401,2
20170402,98
20170403,48
20170404,66
20170405,52
20170406,26
20170407,15
20170408,50
20170409,123
20170410,53
20170411,86
20170412,9
20170413,77
20170414,24
20170415,47
20170416,34
20170417,74
20170418,92
20170419,71
20170420,123
20170421,4
20170422,78
20170423,55
20170424,34
20170425,97
20170426,86
20170427,102
20170428,43
20170429,72
20170430,113
20170501,8
20170502,20
20170503,24
20170504,27
20170505,3
20170506,112
20170507,23
20170508,64
20170509,69
20170510,95
20170511,119
20170512,27
20170513,21
20170514,90
20170515,100
20170516,18
20170517,77
20170518,11
20170519,7
20170520,99
20170521,109
20170522,127
20170523,119
20170524,82
20170525,146
20170526,148
20170527,136
20170528,121
20170529,97
20170530,40
20170531,119
20170601,152
20170602,103
20170603,54
20170604,114
20170605,71
20170606,25
20170607,45
20170608,47
20170609,75
20170610,107
20170611,50
20170612,24
20170613,87
20170614,151
20170615,114
20170616,37
20170617,55
20170618,128
20170619,152
20170620,98
20170621,127
20170622,83
20170623,69
20170624,0
20170625,7
20170626,105
20170627,42
20170628,2
20170629,11
20170630,4
20170701,20
20170702,62
20170703,83
20170704,66
20170705,90
20170706,80
20170707,89
20170708,27
20170709,133
20170710,48
20170711,12
20170712,41
20170713,61
20170714,60
20170715,38
20170716,4
20170717,134
20170718,123
20170719,73
20170720,28
20170721,131
20170722,75
20170723,47
20170724,84
20170725,40
20170726,93
20170727,47
20170728,34
20170729,9
20170730,85
20170731,64
20170801,26
20170802,8
20170803,63
20170804,89
20170805,24
20170806,100
20170807,123
20170808,10
20170809,77
20170810,3
20170811,39
20170812,25
20170813,83
20170814,94
20170815,22
20170816,44
20170817,8
20170818,19
20170819,67
20170820,93
20170821,19
20170822,99
20170823,74
20170824,56
20170825,99
20170826,81
20170827,103
20170828,111
20170829,75
20170830,4
20170831,60
20170901,41
20170902,81
20170903,77
20170904,63
20170905,18
20170906,33
20170907,18
20170908,0
20170909,44
20170910,68
20170911,50
20170912,96
20170913,58
20170914,23
20170915,74
20170916,2
20170917,59
20170918,54
20170919,43
20170920,35
20170921,86
20170922,34
20170923,102
20170924,90
20170925,13
20170926,35
20170927,64
20170928,17
20170929,48
20170930,9
20171001,29
20171002,23
20171003,59
20171004,3
20171005,57
20171006,62
20171007,0
20171008,29
20171009,0
20171010,9
20171011,1
20171012,53
20171013,24
20171014,85
20171015,89
20171016,76
20171017,5
20171018,75
20171019,65
20171020,17
20171021,50
20171022,26
20171023,47
20171024,0
20171025,18
20171026,23
20171027,65
20171028,0
20171029,47
20171030,61
20171031,2
20171101,9
20171102,26
20171103,0
20171104,34
20171105,40
20171106,68
20171107,76
20171108,0
20171109,23
20171110,32
20171111,5
20171112,14
20171113,62
20171114,8
20171115,0
20171116,0
20171117,44
20171118,10
20171119,45
20171120,0
20171121,0
20171122,37
20171123,13
20171124,18
20171125,21
20171126,32
20171127,0
20171128,14
20171129,0
20171130,9
20171201,7
20171202,0
20171203,0
20171204,9
20171206,0
20171207,0
20171208,9
20171209,12
20171210,0
20171211,0
20171212,35
20171213,2
20171214,8
20171215,0
20171216,32
20171217,57
20171218,0
20171219,3
20171220,2
20171221,0
20171222,0
20171223,0
20171224,0
20171225,0
20171226,20
20171227,2
20171228,44
20171229,3
20171230,0
20171231,2
